bookID,average_rating,num_pages,ratings_count,main_author,parent_publisher
277,3.75,91,778,Marguerite Duras,Brookline
278,3.85,192,963,Marguerite Duras,New
280,3.66,181,2057,Marguerite Duras,Pantheon
285,3.68,178,203,Kahlil Gibran,One
288,4.21,464,35,Jean Gibran,Interlink
289,4.19,102,328,Kahlil Gibran,Penguin
290,3.98,216,1308,Kahlil Gibran,Knopf
291,3.92,132,6432,Kahlil Gibran,Citadel
292,4.08,100,3015,Kahlil Gibran,Knopf
295,3.83,311,318753,Robert Louis Stevenson,Kingfisher
296,3.83,213,420,Robert Louis Stevenson,Sterling
297,3.83,245,5967,Robert Louis Stevenson,Simon
298,3.83,64,104,Robert Louis Stevenson,Atheneum
299,3.83,272,56,Robert Louis Stevenson,Gramercy
302,4.05,232,91,Deidre S. Laiken,Abdo
313,4.61,270,88,Ralph Ginzburg,Black
324,4.07,448,63,Gabriel García Márquez,French
330,4.04,64,2815,Dr. Seuss,Random
332,3.6,256,95,Debbie Raleigh,Zebra
333,3.44,147,217,Kevin Henkes,Greenwillow
337,4.02,239,4136,Patrick Süskind,Booket
348,4.01,304,17232,Robert A. Heinlein,Del
350,3.92,528,251872,Robert A. Heinlein,Ace
354,3.87,434,10293,Robert A. Heinlein,Ace
355,3.78,439,15970,Robert A. Heinlein,Del
356,3.97,256,6898,Robert A. Heinlein,or
357,4.06,307,67803,Douglas Adams,Pocket
359,3.93,298,22091,Douglas Adams,Del
362,4.14,368,2623,Nick  Webb,Del
367,3.6,256,885,Terry Jones,Ballantine
382,4.13,72,100,Susan Nanus,Samuel
385,3.57,67,9358,Harry G. Frankfurt,Princeton
386,3.78,347,9318,Nick Flynn,W.
394,4.14,317,120,Garry Wills,Simon
397,4.53,32,5239,Abraham Lincoln,HMH
399,3.92,827,1505,Don DeLillo,Scribner
400,3.99,480,11857,Don DeLillo,Penguin
403,3.43,377,393,Don DeLillo,Penguin
404,3.43,256,1356,Don DeLillo,Vintage
406,3.22,224,460,Don DeLillo,Scribner
407,3.48,272,2492,Don DeLillo,Penguin
408,3.64,339,3100,Don DeLillo,Vintage
409,4.13,1085,5296,Thomas Pynchon,Penguin
410,3.96,547,1415,Thomas Pynchon,Harper
411,3.69,152,2161,Thomas Pynchon,Harper
412,4.01,784,762,Thomas Pynchon,Penguin
413,4.07,773,8086,Thomas Pynchon,Picador
414,3.69,385,702,Thomas Pynchon,Penguin
415,4.01,776,29764,Thomas Pynchon,Penguin
416,3.5,193,334,Thomas Pynchon,Back
418,3.8,352,2473,Richard Fariña,Penguin
420,3.89,227,2656,Joan Didion,Knopf
421,4.17,222,11889,Joan Didion,Farrar
422,3.8,272,2962,Joan Didion,Vintage
423,3.86,240,2842,Joan Didion,Vintage
424,4.21,238,26934,Joan Didion,Farrar
425,3.81,234,2070,Joan Didion,Vintage
426,4.5,1122,1564,Joan Didion,Everyman's
428,3.87,231,23656,Joan Didion,Farrar
431,3.89,308,43200,Paul Auster,Penguin
432,3.79,203,12410,Paul Auster,Penguin
434,3.64,96,3672,Paul Auster,Penguin
435,3.89,179,2998,Paul Auster,Sun
444,3.89,256,74,Peter Moon,Sky
446,3.84,306,17977,Paul Auster,Picador
447,3.94,320,16099,Paul Auster,Penguin
453,3.9,217,361,Paul Auster,Penguin
454,3.23,145,6688,Paul Auster,Henry
456,3.96,275,11744,Paul Auster,Penguin
463,3.77,104,2390,Paul Auster,New
466,4.38,1075,21,Paul Auster,Actes
475,3.93,608,52522,Jared Diamond,Penguin
476,3.4,211,213,Stephen Leeb,Business
477,4.15,262,719,Joseph A. Tainter,Cambridge
478,3.8,544,4762,Robert D. Putnam,Simon
481,3.91,272,62,Philip K. Howard,Ballantine
484,4.39,576,278,Joy Harjo,W.
493,4.01,88,2862,Nikola Tesla,Filiquarian
494,3.78,542,2829,Marc J.  Seifer,Citadel
497,3.93,144,105,Carol Dommermuth-Costa,Lerner
498,4.13,100,102,Nikola Tesla,Adventures
511,3.77,249,478,Julie Elizabeth Leto,Harlequin
515,4.03,828,1577,Dave Thomas,Pragmatic
523,3.95,112,73,Maureen Kelly,Cliffs
531,4.11,397,1693,Victor Davis Hanson,Random
537,3.81,328,6485,Alice Sebold,Picador
538,3.81,532,367,Alice Sebold,Large
539,3.8,224,1371,Sharyn McCrumb,Ballantine
565,3.98,296,793,Dave Shea,Peachpit
570,3.8,456,549,Elizabeth Castro,Peachpit
576,3.85,575,288,Michael Ochs,aschen
597,3.81,245,26381,Chuck Klosterman,Scribner
599,3.73,272,62089,Chuck Klosterman,Scribner
619,3.51,419,474,Jane Feather,Bantam
629,3.77,540,166046,Robert M. Pirsig,HarperTorch
639,4.08,32,1773,Kevin O'Malley,Walker
642,3.72,408,286,Ronald L. DiSanto,William
643,3.85,222,40,John Harold Haynes,Haynes
650,3.93,191,27,Catharine M. Fishel,Rockport
655,4.11,304,7300,Leo Tolstoy,Signet
656,4.11,1392,211671,Leo Tolstoy,Oxford
658,4.13,352,2403,Leo Tolstoy,Dover
662,3.69,1168,322483,Ayn Rand,Plume
663,3.68,224,2750,Ayn Rand,Signet
664,3.87,752,1886,Ayn Rand,Dutton
665,3.51,176,11462,Ayn Rand,Signet
667,3.63,105,110952,Ayn Rand,NAL
668,3.91,464,23199,Ayn Rand,Signet
669,3.88,340,3501,Ayn Rand,Signet
670,3.96,681,18,Ayn Rand,NAL
672,3.95,416,150,J.J. Isler,For
675,3.88,368,646,Colin  Wells,Delacorte
676,4.23,192,12180,Billy Collins,Random
678,3.62,286,51,Christopher Caswell,Lyons
681,3.09,571,1601,Kevin Trudeau,Alliance
685,3.63,231,8854,Bernard Malamud,Farrar
698,3.55,277,17155,Anne Tyler,Alfred
700,3.77,826,44,Gary Colombo,Bedford
702,3.59,528,234,Thomas E. Skidmore,Oxford
703,3.77,391,33321,Philip Roth,Vintage
707,3.59,164,8703,Jon   Stewart,Dey
759,4.19,352,6375,Gabriel García Márquez,Harper
762,3.97,118,7888,Gabriel García Márquez,Vintage
763,4.07,496,130,Gabriel García Márquez,Plaza
764,3.98,176,4508,Gabriel García Márquez,Plaza
765,3.99,533,397,Gabriel García Márquez,Vintage
766,3.6,112,5856,Gabriel García Márquez,Vintage
771,4.07,425,32569,Brian Greene,Vintage
775,4.29,288,37,Upasika Kee Nanayon,Wisdom
793,3.83,128,11,Lonely Planet,Lonely
815,3.88,287,6870,H.G. Bissinger,Mariner
816,4.25,1139,83184,Neal Stephenson,Avon
822,4.26,815,19320,Neal Stephenson,William
823,3.93,927,30872,Neal Stephenson,HarperCollins
824,3.61,448,2465,Neal Stephenson,Spectra
826,3.25,308,4657,Neal Stephenson,William
827,4.19,499,71042,Neal Stephenson,Spectra
828,3.68,640,4731,Neal Stephenson,Spectra
829,4.2,464,1567,Neal Stephenson,HarperTorch
830,4.03,438,188100,Neal Stephenson,Bantam
834,4.16,450,1474,Dan Harrington,wo
835,4.24,381,1929,Dan Harrington,wo
840,4.17,240,18602,Donald A. Norman,Basic
841,3.95,272,3702,Donald A. Norman,Basic
842,4.17,257,265,Donald A. Norman,Basic
848,4.27,259,51,Alex C. Jones,Ignatius
864,3.86,192,920,Paulo Coelho,HarperOne
865,3.86,197,1631221,Paulo Coelho,HarperCollins
866,4.57,192,9013,Hiromu Arakawa,VIZ
868,4.56,192,16666,Hiromu Arakawa,VIZ
869,4.57,192,11451,Hiromu Arakawa,VIZ
870,4.5,192,111091,Hiromu Arakawa,VIZ
871,4.55,200,10752,Hiromu Arakawa,VIZ
872,3.86,198,251,Paulo Coelho,HarperCollins
873,4.52,192,14923,Hiromu Arakawa,VIZ
880,3.82,274,26922,Robert   Harris,Random
888,3.6,360,1156,Edward Bulwer-Lytton,Borgo
890,3.87,103,1755253,John Steinbeck,Penguin
900,3.74,464,20529,Neil Strauss,It
902,4.02,182,142121,Ellen Raskin,Puffin
903,3.83,215,30231,Zilpha Keatley Snyder,urtleback
929,4.11,503,280309,Arthur Golden,Vintage
930,4.11,434,1301083,Arthur Golden,Random
931,4.11,497,2122,Arthur Golden,Vintage
932,4.08,144,145,David        James,Newmarket
933,4.11,497,4189,Arthur Golden,Vintage
935,3.93,334,1556,Mineko Iwasaki,Pocket
944,3.41,95,59,Margaret Johnson,Cambridge
960,3.89,736,2418736,Dan Brown,Pocket
965,3.89,508,196,Dan Brown,Umbriel
968,3.84,489,1679706,Dan Brown,Anchor
969,3.84,467,1120,Dan Brown,Broadway
972,3.84,744,377,Dan Brown,Pocket
975,3.71,736,4919,Dan Brown,Pocket
977,3.71,585,3353,Dan Brown,Corgi
980,3.71,448,61,Dan Brown,Bantam
987,4.04,383,456,P.J. Parrish,Pinnacle
998,4.03,258,61760,Thomas J. Stanley,Gallery
1005,4.18,320,88897,Napoleon Hill,archerperigee
1007,4.18,368,48,Napoleon Hill,High
1014,3.58,256,173,Mike   Mason,Pragmatic
1022,3.95,288,253,Riki Anne Wilchins,Firebrand
1032,3.66,384,12748,Donald J. Trump,Ballantine
1052,4.26,194,76451,George S. Clason,Berkley
1059,4.21,480,9498,Trevanian,Broadway
1067,4.07,386,166916,David McCullough,Simon
1068,4.22,192,1299,Peter  Stone,Penguin
1073,3.62,284,31,Robert J. Allison,University
1078,3.98,418,200744,Pearl S. Buck,Howard
1097,3.74,399,190039,Eric Schlosser,Harper
1099,3.74,384,811,Eric Schlosser,Penguin
1103,4.07,269,297533,Lisa See,Random
1110,3.78,422,72361,John Grisham,Delta
1111,4.51,1344,11208,Robert A. Caro,Vintage
1117,3.75,320,28,Stephen W. Frey,Ballantine
1120,3.74,201,3877,Bill Phillips,HarperCollins
1121,3.65,288,401,Pamela Peeke,Rodale
1123,3.95,405,814,Bill Phillips,High
1130,4.13,245,228,Robert G. Hagstrom,John
1138,4.07,432,39,Robert P. Miles,Wiley
1164,3.15,368,26,Marvin N. Olasky,B
1167,3.99,68,11178,Barbara Park,Random
1169,3.67,392,3379,Sarah Mlynowski,Red
1171,4.15,256,22843,Michael   Lewis,Penguin
1177,3.31,214,13,Frank McConnell,Walker
1191,3.96,256,14103,Giada De Laurentiis,Clarkson
1192,3.95,256,40125,Giada De Laurentiis,Clarkson
1193,4.09,240,8822,Giada De Laurentiis,Clarkson
1196,4.09,256,3697,Tyler Florence,Clarkson
1197,4.06,304,1426,Tyler Florence,Clarkson
1198,3.92,287,275,Tyler Florence,Clarkson
1202,3.97,320,628745,Steven D. Levitt,William
1204,3.97,250,193,Steven D. Levitt,Ediciones
1206,3.97,496,98,Steven D. Levitt,Harper
1218,4.27,338,189,Barry Eisler,Putnam
1226,3.91,401,4318,Yann Martel,Mariner
1230,3.91,448,177,Yann Martel,Gallimard
1234,3.49,400,102,Robert Templer,Penguin
1241,3.65,515,206011,James Frey,Anchor
1242,3.56,256,43,Python Bonkers,Lulu.com
1243,3.41,191,201,James Pinocchio,William
1246,4.05,458,873,James M. Kouzes,Jossey-Bass
1252,4.14,193,5354,Donald T. Phillips,Business
1255,3.68,542,55,Gary Yukl,Prentice
1265,3.72,397,1820,Rudolph W. Giuliani,Little
1274,3.55,368,132062,John Gray,Harper
1276,3.62,368,18,John Gray,Harper
1290,3.76,320,82,Ron  Louis,Prentice
1295,4.05,512,184418,Jean M. Auel,Bantam
1296,4.05,468,495,Jean M. Auel,Crown
1301,4.26,317,85094,Michael   Lewis,W.
1303,4.18,452,60946,Robert Greene,Penguin
1305,4.42,392,21934,Steven Pressfield,Bantam
1307,4.07,414,16312,Margaret Weis,Spectra
1312,3.58,721,146,Thomas Harlan,or
1315,3.96,354,3002,Steven Pressfield,Doubleday
1317,3.9,448,3422,Steven Pressfield,Bantam
1318,3.76,400,2138,Steven Pressfield,Bantam
1319,4.0,168,53653,Steven Pressfield,Warner
1320,3.78,176,14,Stephen J. Rosen,Continuum
1322,3.91,340,85,David J. Danelo,Stackpole
1326,4.1,160,226,Plato,Penguin
1327,3.92,128,29,Plato,Oxford
1328,3.92,176,236,Plato,Penguin
1334,4.47,157,14,Plato,Prometheus
1337,4.5,125,26,Josef Pieper,St.
1338,4.06,272,154,Plato,Hackett
1342,4.35,233,18,Plato,Cornell
1351,3.85,128,28,Plato,Hackett
1354,3.95,208,8186,Plato,Penguin
1362,3.99,716,34727,Herodotus,Penguin
1363,3.99,622,227,Herodotus,Penguin
1365,3.99,772,271,Herodotus,Oxford
1366,3.99,653,143,Herodotus,Penguin
1367,3.99,464,40,Herodotus,W.W.
1368,3.99,816,132,Herodotus,Everyman's
1369,3.99,710,36,Herodotus,University
1371,3.86,683,288792,Homer,Penguin
1373,3.86,574,1058,Homer,Hackett
1374,3.86,588,692,Homer,Farrar
1375,4.04,1556,54939,Homer,Penguin
1376,3.86,462,1919,Homer,Penguin
1377,3.86,312,158,Homer,Signet
1378,3.86,216,212,Homer,Hackett
1381,3.76,541,760871,Homer,Penguin
1382,3.76,515,1713,Homer,Farrar
1383,3.76,374,1131,Homer,Harper
1384,3.76,324,2543,Homer,Penguin
1387,3.76,304,262,Homer,Signet
1391,4.35,161,69,Virgil,Bolchazy-Carducci
1402,4.22,607,414,Virgil,Harvard
1403,4.13,136,67,Ed Roberson,Atelos
1405,3.8,180,259,Virgil,Oxford
1408,3.94,272,55,Paul  Kirk,Harvard
1417,4.5,1808,578,William Shakespeare,Viking
1419,4.5,1248,62,William Shakespeare,Gramercy
1420,4.02,289,609271,William Shakespeare,Cambridge
1423,4.44,137,8159,Reduced Shakespeare Company,Applause
1424,3.64,272,888,Paulo Coelho,HarperOne
1425,3.31,212,1204,Paulo Coelho,HarperOne
1426,3.7,142,22662,Paulo Coelho,HarperOne
1427,3.57,336,58917,Paulo Coelho,HarperOne
1428,3.57,208,70760,Paulo Coelho,HarperOne
1429,3.62,256,1415,Paulo Coelho,HarperOne
1431,3.7,210,132064,Paulo Coelho,Harper
1433,4.02,148,1658,William Shakespeare,Penguin
1437,3.69,129,65,Carla Lynn Stockton,Cliffs
1438,4.02,240,102,William Shakespeare,Cliffs
1439,4.29,450,489,Giorgio De Santillana,Nonpareil
1440,4.32,496,208,Thucydides,Harvard
1441,3.72,172,610,Thucydides,Hackett
1444,4.35,400,38,Thucydides,Harvard
1445,3.9,530,154,Thucydides,Hackett
1449,3.9,554,24,Thucydides,W.
1459,4.29,480,35,Thucydides,Harvard
1462,4.03,221,4483,Euripides,University
1463,4.21,228,3334,Euripides,University
1465,4.21,307,560,Euripides,University
1466,4.4,312,679,Anne Carson,New
1467,4.17,432,1464,Euripides,Bantam
1468,4.0,255,541,Euripides,University
1470,4.31,264,790,Euripides,University
1473,4.03,206,9197,Euripides,Penguin
1474,4.23,432,61,Euripides,Loeb
1475,3.87,431,201,Euripides,Cambridge
1476,4.14,360,164,Euripides,Penguin
1479,3.88,160,154,Euripides,Oxford
1486,3.63,64,34,Euripides,Dover
1488,3.86,128,116,Wole Soyinka,W.
1489,4.1,282,158,Euripides,Oxford
1491,4.26,528,27,Euripides,Loeb
1494,3.83,142,1950,Euripides,Oxford
1495,4.47,464,30,Euripides,Loeb
1499,3.87,116,367,Euripides,Oxford
1504,4.04,160,23,William Allan,Bristol
1509,4.03,528,29,Euripides,Loeb
1510,4.07,605,25,Euripides,Loeb
1511,4.03,144,12,Euripides,Bristol
1515,4.43,672,46,Euripides,University
1516,4.02,171,712,Aeschylus,University
1517,4.1,188,389,Aeschylus,University
1518,4.02,304,77,Aeschylus,Oxford
1519,4.02,335,28726,Aeschylus,Penguin
1521,4.02,224,303,Aeschylus,Hackett
1523,4.1,160,4303,Aeschylus,Penguin
1525,4.02,208,215,Aeschylus,Farrar
1526,4.02,178,12,Aeschylus,University
1527,4.1,358,74,Aeschylus,University
1529,4.03,95,31,Simon Goldhill,Cambridge
1530,4.02,127,63,Aeschylus,Everyman's
1531,4.1,232,12,Aeschylus,University
1532,4.02,151,89,Aeschylus,Dover
1536,4.14,254,5032,Sophocles,University
1537,3.97,288,553,Sophocles,Plume
1538,4.27,420,2883,Sophocles,New
1540,3.97,259,45589,Sophocles,Mariner
1542,3.97,430,2979,Sophocles,Penguin
1546,3.97,304,109,Sophocles,Hackett
1547,3.97,223,52,Sophocles,Alfred
1548,4.14,218,135,Sophocles,Penguin
1549,3.94,178,13358,Sophocles,Oxford
1554,3.7,75,141555,Sophocles,Prestwick
1558,3.7,214,218,Sophocles,Cambridge
1559,3.7,144,740,Sophocles,Simon
1560,4.06,624,6086,Aristophanes,Plume
1561,3.94,256,96,Aristophanes,Routledge
1562,4.21,577,1998,Aristophanes,Bantam
1567,3.95,241,3833,Aristophanes,Penguin
1568,3.42,96,23,Aristophanes,Focus
1571,3.75,254,13,Aristophanes,Oxford
1572,4.07,624,69,Aristophanes,Loeb
1576,3.94,224,391,Aristophanes,Penguin
1577,4.03,400,14,Aristophanes,Harcourt
1579,4.21,608,58,Aristophanes,Harvard
1585,4.07,376,14,Douglas M. MacDowell,Oxford
1586,3.85,98,19,Aristophanes,Signet
1590,3.6,408,262,Aristophanes,Oxford
1591,3.85,132,30604,Aristophanes,Hackett
1592,3.69,335,42,Aristophanes,Penguin
1618,3.88,226,1054308,Mark Haddon,Vintage
1620,3.64,372,4067,George Pelecanos,Little
1625,3.98,272,138101,William Shakespeare,Simon
1627,3.94,55,24985,Annie Proulx,Scribner
1633,3.99,267,105507,David    Allen,Penguin
1634,3.46,176,75,Geoffrey M. Bellman,Berrett-Koehler
1642,4.17,144,240,Ricardo Piglia,Anagrama
1643,4.14,209,331,Ricardo Piglia,Anagrama
1645,3.76,209,69,Ricardo Piglia,Granta
1646,3.96,218,1279,Ricardo Piglia,Anagrama
1654,3.76,227,1098,Ricardo Piglia,Anagrama
1667,4.05,159,453,Ernesto Sabato,Seix
1681,3.92,416,142,Augustine of Hippo,New
1684,3.92,905,104,Augustine of Hippo,Random
1685,4.04,144,271,Augustine of Hippo,New
1686,4.27,576,1643,Peter R.L. Brown,University
1693,4.03,191,2335,Augustine of Hippo,Library
1698,3.92,296,84,Augustine of Hippo,Hackett
1702,3.55,176,259,Garry Wills,Penguin
1703,3.71,144,236,Henry Chadwick,Oxford
1707,3.94,540,29,Augustine of Hippo,New
1709,4.07,302,2488,Anthony Bourdain,Ecco
1710,4.07,478,11,Anthony Bourdain,Santillana
1713,4.05,559,710,Ovid,Harcourt
1715,4.05,723,48223,Ovid,Penguin
1718,4.05,624,30,Ovid,W.
1720,4.27,584,229,Ovid,University
1721,4.32,560,32,Ovid,University
1722,4.36,524,78,Norma Goldman,Wayne
1725,4.02,400,98,Ovid,Harvard
1728,4.12,451,432,Ovid,University
1729,4.52,499,61,Ovid,Harvard
1730,4.42,496,813,Ovid,Harvard
1731,4.08,152,12,Norma Goldman,Wayne
1750,4.62,440,12,Charles Segal,Princeton
1752,3.64,197,36,Sophocles,Oxford
1761,3.64,208,264,Sophocles,Oxford
1771,4.07,640,14,Richard Johnsonbaugh,Prentice
1796,3.86,594,30,Homer,Everyman
1800,3.79,345,122,Simon Goldhill,University
1801,4.12,302,32,Simon Goldhill,Cambridge
1804,3.4,334,10,Simon Goldhill,Cambridge
1805,3.73,212,10,Simon Goldhill,Cambridge
1814,3.42,408,1416,Daniel Pinchbeck,archer
1815,4.06,336,2799,Daniel Pinchbeck,ree
1823,3.95,336,11990,Jon Ronson,Simon
1824,3.61,259,10679,Jon Ronson,Simon
1839,4.03,518,4356,Jared Diamond,W.W.
1843,3.87,256,633,Daniel Duane,North
1845,3.98,207,800349,Jon Krakauer,Anchor
1846,3.92,256,55106,John Eldredge,omas
1848,4.26,562,73572,Jung Chang,Simon
1849,4.01,519,20909,Nelson DeMille,Warner
1850,3.78,354,2456,Catherine Coulter,Jove
1852,3.86,172,274649,Jack London,Scholastic
1853,4.17,40,4541,Judy Sierra,Alfred
1869,3.63,240,168362,Barbara Ehrenreich,Owl
1877,4.04,168,15,Michel Foucault,Pantheon
1879,4.04,168,313,Michel Foucault,Penguin
1883,4.08,304,51,Michel Foucault,Penguin
1887,4.45,128,4244,Sue Birtwistle,Penguin
1888,4.26,333,2399,Jane Austen,Oxford
1889,4.26,392,1821,Jane Austen,Penguin
1891,4.26,476,1146,Jane Austen,Dover
1893,4.26,392,1628,Jane Austen,Barnes
1894,4.0,399,7481,Jon Krakauer,Anchor
1896,3.71,160,330,David  Roberts,Villard
1898,4.17,368,351406,Jon Krakauer,Anchor
1902,4.01,288,1910,Valerian Albanov,Modern
1911,3.68,616,87570,Thomas L. Friedman,Farrar
1914,3.68,495,38,Thomas L. Friedman,Planeta
1925,4.07,342,43,David McClung,Mountaineers
1931,3.65,144,273,Arthur J. Roth,Scholastic
1934,4.07,449,1479727,Louisa May Alcott,Signet
1935,4.07,536,1395,Louisa May Alcott,Sterling
1936,4.07,562,462,Louisa May Alcott,Scholastic
1937,4.07,389,166,Louisa May Alcott,Gramercy
1946,4.33,1064,3124,Louisa May Alcott,Library
1947,4.07,327,83,Louisa May Alcott,Collector's
1955,3.84,496,131,Charles Dickens,Simon
1957,3.84,409,1343,Charles Dickens,Barnes
1958,4.0,96,10,SparkNotes,Spark
1959,3.84,429,730,Charles Dickens,Barnes
1960,3.84,432,39,Charles Dickens,Everyman's
1972,4.16,592,9718,James B. Stewart,Simon
1976,4.21,416,1432,Julia Golding,Egmont
1982,4.3,848,32,Charles Dickens,Gramercy
1984,4.01,887,1235,Charles Dickens,Modern
1985,3.99,928,355,Charles Dickens,Signet
1987,3.85,416,4873,Daniel Pool,ouchstone
1988,3.82,224,552,Jane Smiley,Viking
1990,3.83,830,13212,Charles Dickens,Penguin
1991,3.71,176,4532,Jared Diamond,Basic
1993,4.06,407,59,Jared Diamond,HarperCollins
1999,3.84,112,127,Colleen Sexton,Lerner
2002,4.4,240,11515,J.K. Rowling,Arthur
2004,3.58,96,78,Philip Nel,Bloomsbury
